"id","date","gender","age","language","taskOrder","optionOrder","taskNr","trial","stimulus","response","RT","correct"
98,"2017_Feb_09_1515","female","19","English","[2, 1, 3, 4, 5]","['no', 'yes']",2,4,"rjtsknm","rjtskn",4103.57662046,0
98,"2017_Feb_09_1515","female","19","English","[2, 1, 3, 4, 5]","['no', 'yes']",3,1,"tjgn","tjgn",1534.83349673,1
98,"2017_Feb_09_1515","female","19","English","[2, 1, 3, 4, 5]","['no', 'yes']",3,2,"xczlb","xczlb",6021.79055399,1
98,"2017_Feb_09_1515","female","19","English","[2, 1, 3, 4, 5]","['no', 'yes']",3,3,"lzhwcn","lzwcn",4103.58203744,0
98,"2017_Feb_09_1515","female","19","English","[2, 1, 3, 4, 5]","['no', 'yes']",3,4,"dgmwslh","dgmwslh",4920.91041867,1
99,"2017_Feb_09_1515","female","19","English","[2, 1, 3, 4, 5]","['no', 'yes']",1,1,"thbf","thbf",2852.44469659,1
99,"2017_Feb_09_1515","female","19","English","[2, 1, 3, 4, 5]","['no', 'yes']",1,2,"zgsdc","zgsdc",2768.99673429,1
99,"2017_Feb_09_1515","female","19","English","[2, 1, 3, 4, 5]","['no', 'yes']",1,3,"nksczw","nksczw",7589.48055631,1
99,"2017_Feb_09_1515","female","19","English","[2, 1, 3, 4, 5]","['no', 'yes']",1,4,"zhnvtgd","zhnvtgd",3536.34110151,1
99,"2017_Feb_09_1515","female","19","English","[2, 1, 3, 4, 5]","['no', 'yes']",2,1,"gmcs","gmcs",1901.6525097,1
99,"2017_Feb_09_1515","female","19","English","[2, 1, 3, 4, 5]","['no', 'yes']",2,2,"mhbcj","mhbcj",2101.86005337,1
99,"2017_Feb_09_1515","female","19","English","[2, 1, 3, 4, 5]","['no', 'yes']",2,3,"rwhtfk","rwhtfk",2435.44378853,1
99,"2017_Feb_09_1515","female","19","English","[2, 1, 3, 4, 5]","['no', 'yes']",2,4,"tnkjwgz","tnkjwgz",3636.3041827,1
